Table,2015,2016,2017,2018,2019,2020,2021,2022
S0101,33120,33120,33120,33120,33120,33120,33774,33774
S0801,33120,33120,33120,33085,33120,33120,33774,33774
S0802,33120,33120,33120,33085,33120,33120,33774,33774
S1002,33120,33120,33120,33120,33120,33120,33774,33774
S1101,33120,33120,33120,33120,33120,33120,33774,33774
S1201,33120,33120,33120,33120,33120,33120,33774,33774
S1401,33120,33120,33120,33120,33120,33120,33774,33774
S1501,33120,33120,33120,33120,33120,33120,33774,33774
S1502,33120,33120,33120,33120,33120,33120,33774,33774
S1601,33120,33120,33120,33120,33120,33120,33774,33774
S1602,33120,33120,33120,33120,33120,33120,33774,33774
S1603,33120,33120,33120,33120,33120,33120,33774,33774
S1701,33120,33120,33120,33085,33120,33120,33774,33774
S1702,33120,33120,33120,33085,33120,33120,33774,33774
S1810,33120,33120,33120,33120,33120,33120,33774,33774
S1901,33120,33120,33120,33085,33120,33120,33774,33774
S1902,33120,33120,33120,33085,33120,33120,33774,33774
S1903,33120,33120,33120,33085,33120,33120,33774,33774
S2001,33120,33120,33120,33085,33120,33120,33774,33774
S2101,33120,33120,33120,33120,33120,33120,33774,33774
S2201,33120,33120,33120,33120,33120,33120,33774,33774
S2301,33120,33120,33120,33085,33120,33120,33774,33774
S2302,33120,33120,33120,33085,33120,33120,33774,33774
S2303,33120,33120,33120,33085,33120,33120,33774,33774
S2401,33120,33120,33120,33085,33120,33120,33774,33774
S2402,33120,33120,33120,33085,33120,33120,33774,33774
S2403,33120,33120,33120,33085,33120,33120,33774,33774
S2404,33120,33120,33120,33085,33120,33120,33774,33774
S2405,33120,33120,33120,33085,33120,33120,33774,33774
S2406,33120,33120,33120,33085,33120,33120,33774,33774
S2407,33120,33120,33120,33085,33120,33120,33774,33774
S2408,33120,33120,33120,33085,33120,33120,33774,33774
S2409,33120,33120,33120,33085,33120,33120,33774,33774
S2411,33120,33120,33120,33085,33120,33120,33774,33774
S2412,33120,33120,33120,33085,33120,33120,33774,33774
S2413,33120,33120,33120,33085,33120,33120,33774,33774
S2414,33120,33120,33120,33085,33120,33120,33774,33774
S2418,33120,33120,33120,33085,33120,33120,33774,33774
S2419,33120,33120,33120,33085,33120,33120,33774,33774
S2501,33120,33120,33120,33120,33120,33120,33774,33774
S2502,33120,33120,33120,33120,33120,33120,33774,33774
S2503,33120,33120,33120,33085,33120,33120,33774,33774
S2504,33120,33120,33120,33120,33120,33120,33774,33774
S2506,33120,33120,33120,33120,33120,33120,33774,33774
S2507,33120,33120,33120,33120,33120,33120,33774,33774
S2701,33120,33120,33120,33120,33120,33120,33774,33774
S2703,33120,33120,33120,33120,33120,33120,33774,33774
S2704,33120,33120,33120,33120,33120,33120,33774,33774
S0601,32989,32989,32989,32989,32989,32989,33642,33642
S0701,32989,32989,32989,32954,32989,32989,33642,33642
S1301,32660,33120,33120,33120,33120,33120,33774,33774
S0901,3274,3278,3278,3292,3282,3259,3320,3249
S1703,2495,2442,2349,2264,2109,1987,1930,1883
S0102,2159,2335,2532,2723,2906,3072,3195,3373
S0501,1594,1625,1683,1721,1755,1763,1796,1817
S0503,1594,1625,1683,1721,1755,1763,1796,1817
S0502,1593,1625,1683,1721,1755,1763,1796,1817
S2702,1087,898,740,583,539,520,532,525
S0506,743,758,771,759,775,762,773,783
S0103,695,911,911,1022,1140,1285,1316,1475
S1811,297,353,353,370,368,399,424,469
S0505,284,293,320,324,335,343,339,351
S0902,64,64,64,69,63,69,71,79
S0504,0,0,0,0,0,0,0,0
S0702,0,0,0,0,0,0,0,0
S0804,0,0,0,0,0,0,0,0
S1001,0,0,0,0,0,0,0,0
S1251,0,0,0,0,0,0,0,0
S2002,0,0,0,0,0,0,0,0
S2601A,0,0,0,0,0,0,0,0
